,ED50,Model,p-value,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,ED50,bmd,ED50,ED50
ptpn4b,4.65968322,lgaussian_up,0.000390888,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322,4.65968322
pwp1,0.013680295,lgaussian_up,0.003854587,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295,0.013680295
pwp2h,0.007605767,lgaussian_up,0.00153871,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767,0.007605767
rap1b,69407.3432,lgaussian_up,0.000108248,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432,69407.3432
rbm17,0.016199856,lgaussian_up,0.028665448,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856,0.016199856
rbx1,0.010984764,lgaussian_up,0.024563048,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764,0.010984764
rchy1,0.033639653,lgaussian_up,0.005526101,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653,0.033639653
riok1,0.008024662,lgaussian_up,0.000229708,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662,0.008024662
rpl35a,0.005496469,lgaussian_up,0.000544534,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469,0.005496469
rpl5b,0.003338694,lgaussian_up,0.016110985,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694,0.003338694
rps19,0.026545278,lgaussian_up,0.00083456,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278,0.026545278
rrp7a,0.014415256,lgaussian_up,0.0020534,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256,0.014415256
rrs1,0.012467001,lgaussian_up,0.00203688,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001,0.012467001
rxraa,0.007821789,lgaussian_up,0.041207505,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789,0.007821789
sart1,0.011036315,lgaussian_up,0.002808619,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315,0.011036315
sec13,0.10846552,lgaussian_up,0.004243425,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552,0.10846552
