Ensembl.Gene.ID,,Associated.Gene.Name,EntrezGene.ID
ENSDARG00000044754,,gnrh2,353222
ENSDARG00000041502,,tgfb1a,359834
ENSDARG00000061226,,timp2a,359835
ENSDARG00000013443,,atp6v1ba,359839
ENSDARG00000056214,,gnrh3,360141
ENSDARG00000027552,,mapk1,360144
ENSDARG00000042824,,nfe2l2a,360149
ENSDARG00000044280,,opn1mw2,360151
ENSDARG00000031891,,tbx1,368206
ENSDARG00000034187,,calm1b,368217
ENSDARG00000039429,,adka,368220
ENSDARG00000037654,,pmm2,368229
ENSDARG00000035913,,yars,368235
ENSDARG00000041065,,hspb1,368243
ENSDARG00000088828,,paqr8,368254
ENSDARG00000022995,,clic4,368255
ENSDARG00000034907,,paqr7b,368256
ENSDARG00000014230,,dlst,368262
ENSDARG00000036164,,cars,368284
ENSDARG00000101423,,cyp2y3,368352
ENSDARG00000056623,,ptenb,368415
ENSDARG00000037498,,gria3b,368416
ENSDARG00000000631,,ptpn4a,368448
ENSDARG00000068557,,htr5al,368475
ENSDARG00000040730,,wdr75,368478
ENSDARG00000044972,,bcap31,368488
ENSDARG00000103716,,si-busm1-48c11.3,368614
ENSDARG00000079605,,prmt5,368664
ENSDARG00000101334,,ctsc,368704
ENSDARG00000039578,,pa2g4a,368737
ENSDARG00000070206,,si-zfos-2070c2.1,368748
ENSDARG00000036787,,abcb3l1,368771
ENSDARG00000042853,,ivd,368775
ENSDARG00000103702,,si-busm1-194e12.8,368816
ENSDARG00000031745,,si-zfos-2070c2.4,368878
ENSDARG00000014994,,tbp,368882
ENSDARG00000023967,,atp6v1c1a,368907
ENSDARG00000001578,,echs1,368912
ENSDARG00000027087,,tgfb2,369194
ENSDARG00000019367,,tgfb3,369195
ENSDARG00000005026,,tshz1,369196
ENSDARG00000005162,,tpm3,373076
ENSDARG00000088246,,thoc1,373077
ENSDARG00000036299,,nucb2a,373078
ENSDARG00000045367,,tuba1b,373080
ENSDARG00000021242,,mvp,373081
ENSDARG00000003035,,hspa9,373085
ENSDARG00000101074,,glud1b,373092
ENSDARG00000101627,,ssr1,373100
ENSDARG00000044619,,birc2,373107
ENSDARG00000062052,,casp2,373118
ENSDARG00000010085,,p4ha2,373132
ENSDARG00000011370,,fyna,373872
ENSDARG00000018967,,gabbr1a,373873
ENSDARG00000002235,,mmp14a,373882
ENSDARG00000103226,,dhcr7,378446
ENSDARG00000012025,,hs6st2,378450
ENSDARG00000036675,,hnrnpa1b,378453
ENSDARG00000014858,,drd2l,378718
ENSDARG00000011091,,drd2b,378719
ENSDARG00000012369,,rdh10b,378722
ENSDARG00000013522,,pck1,378727
ENSDARG00000103846,,hspa5,378848
ENSDARG00000099380,,rpl13,378961
ENSDARG00000039007,,eno3,378963
ENSDARG00000011219,,akt2,378972
ENSDARG00000069099,,tmco1,378980
ENSDARG00000003570,,hsp90b1,386590
